ID	Score	Grade	Description	First	Last	Party	District	City	Email	Phone	Chamber	Supported	Absent	Opposed	Picture	loadID
1	71	C	Neil Abramson D98-New Orleans	Neil	Abramson	D	98	New Orleans	abramson@legis.la.gov	504-275-8051	Representative	36	50	14	http://house.louisiana.gov/H_Reps/RepPics09/rep98.jpg	98
2	58	F	Bryan Adams R85-Gretna	Bryan	Adams	R	85	Gretna	adamsb@legis.la.gov	504-361-6013	Representative	50	14	36	http://house.louisiana.gov/H_Reps/RepPics09/rep85.jpg	85
3	92	A	Andy Anders D21-Vidalia	Andy	Anders	D	21	Vidalia	larep021@legis.la.gov	318-336-5865	Representative	86	7	7	http://house.louisiana.gov/H_Reps/RepPics09/rep21.jpg	21
4	91	A	James Armes D30-Leesville	James	Armes	D	30	Leesville	armesj@legis.la.gov	337-238-7004	Representative	71	21	7	http://house.louisiana.gov/H_Reps/RepPics09/rep30.jpg	30
5	77	C	Jeff Arnold D102-New Orleans	Jeff	Arnold	D	102	New Orleans	larep102@legis.la.gov	504-361-6600	Representative	71	7	21	http://house.louisiana.gov/H_Reps/RepPics09/rep102.jpg	102
6	86	B	Austin Badon D100-New Orleans	Austin	Badon	D	100	New Orleans	larep100@legis.la.gov	504-243-7783	Representative	86	0	14	http://house.louisiana.gov/H_Reps/RepPics09/rep100.jpg	100
7	54	F	Taylor Barras R48-New Iberia	Taylor	Barras	R	48	New Iberia	barrast@legis.la.gov	337-373-4051	Representative	50	7	43	http://house.louisiana.gov/H_Reps/RepPics09/rep48.jpg	48
8	83	B	Regina Barrow D29-Baton Rouge	Regina	Barrow	D	29	Baton Rouge	larep029@legis.la.gov	225-359-9400	Representative	71	14	14	http://house.louisiana.gov/H_Reps/RepPics09/rep29.jpg	29
9	57	F	Johnny Berthelot R88-Gonzales	Johnny	Berthelot	R	88	Gonzales	berthelotj@legis.la.gov	225-647-5646	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep88.jpg	88
10	71	C	Robert Billiot D83-Westwego	Robert	Billiot	D	83	Westwego	billiotr@legis.la.gov	504-436-8929	Representative	71	0	29	http://house.louisiana.gov/H_Reps/RepPics09/rep83.jpg	83
