Title	Description	Long	Lat	Category	Location	Picture	Link
Louisiana Bucket Brigade	An environmental justice non-profit that works with communities bordering refineries and petrochemical plants	-90.103066	29.97577	Brigade	New Orleans	http://upload.wikimedia.org/wikipedia/en/2/2c/This_is_an_official_Louisiana_Bucket_Brigade_Logo.jpg	http://labucketbrigade.org
Louisiana Environmental Action Network	As one of Louisiana's most recognized environmental advocacy organizations, local governments and industries routinely consult LEAN at the start of applications for permits. In the wake of Hurricane Katrina and the BP Oil Spill, LEAN has coordinated emergency relief, disseminated accurate information about pollution and its impacts, and worked toward restoration of the region's habitats and cultures.	-91.116949	30.451458	Brigade	Baton Rouge	http://frack.mixplex.com/frack_files/lean.gif	http://leanweb.org/
Citizens for a Frack-Free St. Tammany	Residents of St. Tammany Parish and friends of the area oppose the proposal to allow Helis Oil & Gas to build a drill site well pad for subsurface fracturing outside of Mandeville, Louisiana that would impact the entire Tuscaloosa Marine Shale Ridge due to health concerns, risks of environmental pollution, and declining property values.	-89.925323	30.435742	Brigade	St. Tammany	https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/t31.0-8/10329986_1432442750351824_7550669822255230537_o.jpg	http://nofracksttammany.wordpress.com/
Mossville Environmental Action Network	After years of pollution and the recent land grab by SASOL - an olympic-sized industrial facility outside of Lake Charles, residents of Mossville have come together to fight the unjust buyout of their homes, to preserve their historic community, and organize for a just and reasonable resolution.	-93.30889	30.2475	Brigade	Mossville		
Mossville Just Relocation	One year ago, South African chemical company Sasol offered to buy the entire town to create a buffer zone for its planned $21 billion industrial complex on 3,034 acres of land outside of Lake Charles.	-93.30889	30.2475	Campaign	Mossville		
St. Rose Air Monitoring	In June of 2014, Shell/IMTT released a chemical odor high in hydrogen sulfide that made many residents of St. Rose very sick. The Louisiana Bucket Brigade went door to door over the summer and found that over 80% of interviewed residents suffered from a health effect, including nausea, vomitting, diarrhea, or other illneses.	-90.323135	29.946872	Campaign	St. Rose		
St. Rose Community One Voice	A community group formed in the wake of a toxic chemical odor released by Shell/IMTT. The community group is fighting for air monitoring and an end to odors in St. Rose and St. Charles Parish.	-90.323135	29.946872	Brigade	St. Rose		
Concerned Citizens of Bayou Corne	A group of concerned citizens that came together following the Bayou Corne Sinkhole	-91.14294	30.011219	Brigade	Bayou Corne	http://www.wbrz.com/images/news/2012-10/10_23sinkhole.jpg	
Justice for Residents around the Bayou Corne Sinkhole	The community of Bayou Corne faces many uncertaintites as Texas Brine Co. works to investigate and secure a growing sinkhole in Assumption Parish. Residents of the area are faced with bubbling bayous, seismic tremors, and no end in sight.	-91.14294	30.011219	Pollution	Bayou Corne	http://www.wbrz.com/images/news/2012-10/10_23sinkhole.jpg	
Camp Minden Concerned Citizens	Fighting for a safe disposal or removal of the 15 million pounds of M6 explosives at Camp Minden, and to stop the open burn.	-93.270309	32.627577	Brigade	Minden	http://www.gannett-cdn.com/-mm-/641cbb2484acefe7d25899ae53947e6f0f13cfcd/c=0-112-900-787&r=x404&c=534x401/local/-/media/Monroe/2015/01/19/B9315930720Z.1_20150119211051_000_GDG9NLSNU.1-0.jpg	
Camp Minden Open Burn of M6 Explosives	The army, state of Louisiana, and EPA proposed an open-air burn of 15 million pounds of toxic and carcinogenic M6 explosives at Camp Minden.	-93.270309	32.627577	Campaign	Minden	http://www.gannett-cdn.com/-mm-/641cbb2484acefe7d25899ae53947e6f0f13cfcd/c=0-112-900-787&r=x404&c=534x401/local/-/media/Monroe/2015/01/19/B9315930720Z.1_20150119211051_000_GDG9NLSNU.1-0.jpg	
Levees.org	Levees.org is devoted to educating America on the facts associated with the 2005 catastrophic flooding of the New Orleans region.	-90.109734	29.925157	Brigade	New Orleans	http://levees.org/wp-content/themes/levees2011/images/logo.png	http://levees.org/
Gulf Restoration Network	The Gulf Restoration Network is committed to uniting and empowering people to protect and restore the natural resources of the Gulf Region.	-90.070209	29.945827	Brigade	New Orleans	http://www.healthygulf.org/sites/default/files/images/grn-logo-green-teal.jpg	http://healthygulf.org/
Restore Louisiana Now	 RLN will initially devote itself to preventing political interference in the lawsuit filed by the Southeast Louisiana Flood Protection Authority-East against 97 oil, gas, and pipeline companies for the destruction of the coast -- the region’s first line of hurricane protection. The message of these lawsuits is simple; obey the law, keep your word and fix what you broke.  According to a recent poll, 93% of coastal Louisiana residents say that oil, gas and pipeline companies, not taxpayers, should pay to fix their share of the damage to the coastal wetlands.  RLN proudly stands with those residents.	-90.068009	29.960054	Brigade	New Orleans	http://restorelouisiananow.org/sites/all/themes/humble/logo.png	http://restorelouisiananow.org/
Save BR Water	Baton Rouge sits atop a fresh water aquifer deep in the earth that naturally supplies our city with some of the best drinking water in not only the nation, but also the world. However, over pumping is causing large amounts of salt-water intrusion and if action is not taken soon our fresh water will be ruined and we will be forced to find another supply, most likely from the Mississippi River.	-91.086699	30.342265	Brigade	Baton Rouge	http://www.savebrwater.com/images/Infopic_solution.jpg	http://www.savebrwater.com/
Baton Rouge Ground Water	Salt water is rapidly encroaching on the clean ground water that the Baton Rouge area relies upon for drinking water. Industrial facilities are using this clean ground water for industrial processes at a rate that equals all of the individual citizens in the Baton Rouge area put together. If industry switched from using groundwater to using Mississippi River water for their industrial processes it would go a long way towards preserving the clean groundwater for use by the citizens of the Baton Rouge area.	-91.086699	30.342265	Campaign	Baton Rouge		http://www.savebrwater.com/
Big Oil: Fix The Coast You Broke		-89.982917	29.898291	Campaign	Gulf Coast		http://www.nola.com/opinions/index.ssf/2013/08/what_the_levee_authority_reall.html
Save Lake Peigneur	Lake Peigneur was created thousands of years ago and is located above the Jefferson Island Salt Dome. Over 500 oil, gas & sulphur wells have been drilled in Lake Peigneur. Currently, AGL Resources owns 2 natural gas storage caverns under the lake and is planning to withdraw drinking water to expand the existing wells and add 2 more to store natural gas. Our research shows there will be contamination of our drinking water in the Chicot Aquifer.	-91.983306	29.980806	Brigade	Baton Rouge		http://savelakepeigneur.blogspot.com
Sierra Club - Delta Chapter	The mission of the Sierra Club is to explore, enjoy and protect the wild places of the Earth; to practice and promote the responsible use of the Earth's ecosystems and resources; to educate and enlist people to protect and restore the quality of the natural and human environment; and to use all lawful means to carry out these objectives.	-92.01615	30.204863	Brigade	Lafayette	http://lasierraclub.org/sites/default/files/bayou_logo.png	http://lasierraclub.org/
