geoson	population	orig	val
Clarks	1008	1	5
Moonshine	100	2	9
Lemannville	1013	3	5
Calvin	231	4	7
Sikes	115	5	8
Killona	100	6	8
Crescent	934	7	5
Point Place	272	8	7
Dodson	326	9	7
New Orleans	378715	10	0
Iota	1483	11	4
Saline	271	12	7
Bryceland	100	13	8
Bonita	100	14	8
Bastrop	10949	15	1
East Hodge	286	16	7
Eros	153	17	8
Hodge	100	18	8
Estherwood	100	19	8
Wisner	948	20	5
Martin	580	21	6
Hall Summit	295	22	7
Edgefield	214	23	7
Fisher	100	24	8
Converse	439	25	7
Vienna	390	26	7
Doyline	804	27	6
Napoleonville	100	28	9
Junction City	572	29	6
New Llano	2512	30	3
Rodessa	268	31	7
Oak Grove	100	32	9
Pioneer	154	33	8
Oil City	1006	34	5
Mooringsport	791	35	6
Blanchard	2898	36	3
Ida	220	37	7
Hosston	317	38	7
Lake Providence	3847	39	2
Vivian	3664	40	3
Greenwood	3222	41	3
Gilliam	164	42	8
Castor	252	43	7
Belcher	263	44	7
Shreveport	200327	45	0
Ringgold	1453	46	4
Mount Lebanon	81	47	9
Lucky	266	48	7
Jamestown	136	49	8
Gibsland	958	50	5
Bienville	213	51	7
Arcadia	2912	52	3
Winnsboro	4840	53	2
Gilbert	568	54	6
Baskin	251	55	7
Merryville	100	56	8
DeRidder	10793	57	1
Coushatta	100	58	8
Sorrento	1511	59	4
Gonzales	10301	60	1
Kilbourne	411	61	7
Donaldsonville	7473	62	2
Thibodaux	14565	63	1
Lockport	2546	64	3
Epps	842	65	5
Forest	351	66	7
Golden Meadow	2071	67	4
Florien	635	68	6
Zwolle	1984	69	4
Pleasant Hill	100	70	9
Noble	253	71	7
Keachi	296	72	7
Many	2815	73	3
Grand Cane	247	74	7
Central	27743	75	0
Springhill	5214	76	2
Simsboro	850	77	5
Ruston	22287	78	0
Grambling	5049	79	2
Zachary	15894	80	1
Baton Rouge	229426	81	0
Baker	13830	82	1
Dubach	971	83	5
Downsville	100	84	8
Sibley	1199	85	5
Shongaloo	100	86	9
Sarepta	877	87	5
Minden	12954	88	1
Heflin	237	89	7
Dixie Inn	100	90	8
Cullen	1143	91	5
Cotton Valley	990	92	5
Choudrant	100	93	8
Dubberly	100	94	8
Reeves	100	95	9
Oberlin	1743	96	4
Clinton	1597	97	4
Oakdale	7691	98	1
Kinder	2432	99	3
Elizabeth	100	100	8
Wilson	579	101	6
Slaughter	966	102	5
Urania	100	103	9
Norwood	310	104	7
Olla	1381	105	4
Jackson	3790	106	3
Tullos	100	107	9
Grayson	525	108	6
Jena	3384	109	3
Columbia	385	110	7
Pollock	475	111	6
Montgomery	708	112	6
Dry Prong	431	113	7
Creola	209	114	7
Georgetown	321	115	7
Colfax	1519	116	4
Sicily Island	513	117	6
Maurice	1171	118	5
Jonesville	2220	119	3
Mamou	3184	120	3
Harrisonburg	100	121	8
Plain Dealing	1000	122	5
Bossier City	66333	123	0
Benton	2063	124	4
Haughton	3423	125	3
Oak Ridge	100	126	9
Mer Rouge	100	127	8
Jonesboro	4665	128	2
North Hodge	100	129	9
Quitman	100	130	9
Sun	100	131	9
Slidell	27526	132	0
Pearl River	2553	133	3
Mandeville	12193	134	1
Madisonville	789	135	6
Folsom	741	136	6
Covington	9352	137	1
Abita Springs	2450	138	3
Richmond	565	139	6
Rosepine	1683	140	4
Tallulah	7215	141	2
Mound	100	142	9
Delta	100	143	8
Chatham	550	144	6
Simpson	641	145	6
Leesville	6637	146	2
Hornbeck	481	147	6
Anacoco	872	148	5
Patterson	6112	149	2
Berwick	4839	150	2
Chataignier	359	151	7
Franklin	7454	152	2
White Castle	1878	153	4
Baldwin	2375	154	3
Newellton	1111	155	5
Morgan City	12091	156	1
Waterproof	639	157	6
St. Joseph	1092	158	5
Atlanta	158	159	8
Church Point	4538	160	2
Basile	1802	161	4
Winnfield	4657	162	2
Rayne	8027	163	1
Morse	100	164	9
Mermentau	100	165	8
Crowley	13219	166	1
Eunice	10344	167	1
Duson	1748	168	4
Mansura	1393	169	4
Hessmer	100	170	8
Cottonport	1967	171	4
Bunkie	4092	172	2
Simmesport	2125	173	4
Plaucheville	243	174	7
Moreauville	912	175	5
Marksville	5593	176	2
Evergreen	100	177	8
Maringouin	1083	178	5
Westlake	4602	179	2
Vinton	3190	180	3
Gueydan	1404	181	4
Sulphur	20155	182	0
Lake Charles	74024	183	0
Iowa	3116	184	3
DeQuincy	3179	185	3
Lisbon	100	186	8
Stonewall	1912	187	4
Homer	3106	188	3
Stanley	109	189	8
South Mansfield	352	190	7
Haynesville	2241	191	3
Athens	241	192	7
Mansfield	5051	193	2
Longstreet	160	194	8
Logansport	1580	195	4
Grosse Tete	637	196	6
Kaplan	4615	197	2
Erath	2113	198	4
Delcambre	1863	199	4
West Monroe	13094	200	1
Sterlington	1889	201	4
Richwood	3386	202	3
Monroe	49761	203	0
Abbeville	12440	204	1
Ville Platte	7303	205	2
Turkey Creek	435	206	7
Pine Prairie	1589	207	4
St. Gabriel	6869	208	2
Rosedale	784	209	6
Plaquemine	7046	210	2
Robeline	172	211	7
Provencal	100	212	9
Powhatan	133	213	8
Natchitoches	18275	214	0
Natchez	583	215	6
Clarence	492	216	6
Campti	100	217	8
Ashland	265	218	7
Denham Springs	10148	219	1
Springfield	488	220	6
Lake Arthur	2724	221	3
Goldonna	426	222	7
Lafayette	124276	223	0
