ID	loadID	Label	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17
-	-5	Name	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014	3/2014
-	-4	Group	coast	coast	coast	coast	coast	coast	oil	oil	oil	water	water	air	salt	salt	salt	other	coast
-	-3	Subject	SLFPAE LAWSUIT & LEVEE BOARDS	SLFPAE LAWSUIT & LEVEE BOARDS	SLFPAE LAWSUIT & LEVEE BOARDS	SLFPAE LAWSUIT & LEVEE BOARDS	SLFPAE LAWSUIT & LEVEE BOARDS	SLFPAE LAWSUIT & LEVEE BOARDS	OIL GAS WELLS, PIPELINE & TRANSPORTATION	OIL GAS WELLS, PIPELINE & TRANSPORTATION	OIL GAS WELLS, PIPELINE & TRANSPORTATION	WATER	WATER	AIR	SALT DOME	SALT DOME	SALT DOME	LITTER	COASTAL RESTORATION
-	-2	Number	SB 469, ACT 544	Amendment: Connick 8060, Martiny 3863	Amendment: Leger 819	Amendment: Allain 3865	HB 799 / ACT 796	SB 342 / ACT 303	SB 667 / ACT 400	SCR 142	HCR 102	HB 793 / ACT 795	SR 171	HB 802 / ACT 258	SB 209 / ACT 691	SB 585 / ACT 766	HCR 54	HB 1075 / ACT 100	HCR 10
-	-1	GA Position	N	Y	Y	N	N	N	N	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
-	0	Notes	The bill excludes SLPFA-E from having authority to assert claims. The GreenARMY opposed this bill.	The GreenARMY supported this amendment because it removed the retroactivity of bill that would kill the SLFPA-E lawsuit.	The GreenARMY supported this amendment because it moved the lawsuit-killing bill to the Committee on Civil Law- a committee better suited to determine the constitutionality and legitimacy of the bill designed to kill the levee board lawsuit. 	The GreenARMY opposed this bill because it restricted ability to file suit (killing the levee board lawsuit).	The GreenARMY opposed this bill because it killed the levee board lawsuit: Provides relative to the employment of special attorneys or counsel.	The GreenARMY opposed this bill because it killed the levee board lawsuit.	The GreenARMY opposed this bill: Provides for procedures relative to remediation of oilfield sites and exploration and production sites.	The GreenARMY supported this bill: Takes all action necessary to collect oil and gas severance tax and mineral royalties and to establish procedures to verify the accuracy of payments and refunds thereof.	The GreenARMY supported this bill: Urges and requests the commissioner of conservation to review the rules and regulations governing plugging and abandonment of wells.	The GreenARMY supported this bill: Provides for the membership of the Capital Area Groundwater Commission.	The GreenARMY supported this bill: Requests the Louisiana State Law Institute to create a Water Code Committee.	The GreenARMY supported this bill: Establishes a task force on toxic mold.	The GreenARMY supported this bill: Provides for permitting requirements of solution mining injection wells and solution mined caverns.	The GreenARMY supported this bill: Requires public notice for certain solution-mined cavern permits in Vermilion and Iberia parishes.	The GreenARMY supported this bill: Requests the office of conservation to study the effect of implementing certain requirements for operators of salt dome caverns.	The GreenARMY supported this bill:Defines cigarettes, cigarette butts, cigarillos, cigar, or cigarillo tips as litter and provides for littering penalties.	The GreenARMY supported this bill: Approves the 2014-2015 annual plan for integrated coastal protection and restoration.
1	98	Neil Abramson D98-New Orleans	0	0	0	-	-1	-	-1	0	1	1	-	1	0	0	1	0	1
2	85	Bryan Adams R85-Gretna	-1	-1	-1	-	-1	-	1	-1	1	0	-	1	1	1	1	1	0
3	21	Andy Anders D21-Vidalia	1	-1	0	-	1	-	1	1	1	1	-	1	1	1	1	1	1
4	30	James Armes D30-Leesville	1	1	1	-	1	-	0	0	1	0	-	1	1	1	1	-1	1
5	102	Jeff Arnold D102-New Orleans	-1	-1	1	-	-1	-	0	1	1	1	-	1	1	1	1	1	1
6	100	Austin Badon D100-New Orleans	1	1	1	-	-1	-	-1	1	1	1	-	1	1	1	1	1	1
7	48	Taylor Barras R48-New Iberia	-1	-1	-1	-	-1	-	-1	-1	1	0	-	1	1	1	1	1	1
8	29	Regina Barrow D29-Baton Rouge	1	-1	1	-	0	-	-1	1	1	1	-	1	1	1	1	1	0
9	88	Johnny Berthelot R88-Gonzales	-1	-1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	1
10	83	Robert Billiot D83-Westwego	-1	-1	-1	-	1	-	-1	1	1	1	-	1	1	1	1	1	1
11	43	Stuart Bishop R43-Lafayette	-1	-1	0	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	0
12	99	Wesley Bishop D99-New Orleans	1	1	1	-	1	-	-1	0	1	0	-	1	1	1	1	1	1
13	86	Chris Broadwater R86-Hammond	-1	-1	-1	-	-1	-	-1	1	1	1	-	1	1	1	1	1	1
14	97	Joseph Bouie 97-New Orleans	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	22	Terry Brown I22-Colfax	1	-1	0	-	1	-	-1	0	1	1	-	1	1	1	1	1	1
16	7	Richie Burford R7-Stonewall	-1	-1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	1
17	9	Henry Burns R9-Haughton	-1	-1	-1	-	-1	-	-1	1	1	1	-	1	1	1	1	1	1
18	89	Tim Burns R89-Mandeville	-1	-1	0	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	1
19	2	Roy Burrell D2-Shreveport	-1	-1	1	-	1	-	-1	1	1	1	-	1	1	1	1	1	1
20	6	Thomas Carmody R6-Shreveport, Bossier	-1	-1	0	-	-1	-	-1	-1	1	1	-	1	1	1	0	1	1
21	68	Steve Carter R68-Baton Rouge	-1	-1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	1
22	49	Simone Champagne R49-Jeanerette	-1	-1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	1
23	19	Bubba Chaney R19-Rayville	-1	-1	-1	-	-1	-	1	1	1	1	-	1	1	1	1	1	1
24	84	Patrick Connick R84-Marrero	1	1	1	-	-1	-	1	1	1	1	-	1	1	1	1	1	1
25	23	Kenny Cox D23-Natchitoches	1	1	1	-	1	-	1	1	1	1	-	0	1	1	1	1	1
26	90	Greg Cromer R90-Slidell-Pearl River	-1	1	-1	-	-1	-	0	0	1	1	-	1	0	0	0	1	1
27	33	Mike Danahay D33-Sulphur	-1	-1	1	-	-1	-	-1	-1	1	0	-	1	1	1	1	1	1
28	26	Herbert Dixon D26-Alexandria	1	-1	0	-	1	-	0	1	1	1	-	1	1	1	1	1	1
29	52	Gordon Dove R52-Houma	-1	-1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	1
30	72	John Bel Edwards D72-Amite	1	1	1	-	1	-	1	1	1	0	-	1	1	1	1	1	1
31	13	Jim Fannin R13-Jonesboro	-1	-1	-1	-	1	-	-1	1	1	1	-	1	1	1	1	1	1
32	70	Franklin Foil R70-Baton Rouge	1	1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	1
33	34	A.B. Franklin D34-Lake Charles	1	-1	1	-	1	-	1	1	1	1	-	1	1	1	1	1	1
34	57	Randal Gaines D57-LaPlace	0	0	1	-	1	-	-1	1	1	1	-	1	1	1	1	1	1
35	103	Ray Garofalo R103-Chalmette	-1	-1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	0
36	35	Brett Geymann R35-Lake Charles	-1	-1	-1	-	-1	-	0	0	1	0	-	1	1	1	1	0	1
37	54	Jerry Gisclair D54-Larose	-1	-1	-1	-	-1	-	-1	1	1	1	-	1	1	1	1	1	1
38	66	Hunter Greene R66-Baton Rouge	1	1	0	-	1	-	0	0	1	0	-	0	1	1	0	1	1
39	41	Mickey Guillory D41-Eunice	1	1	1	-	1	-	1	1	1	1	-	1	1	1	1	0	0
40	37	Johnny Guinn R37-Jennings	-1	-1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	0	1
41	25	Lance Harris R25-Alexandria	-1	-1	-1	-	-1	-	-1	-1	1	1	-	1	1	1	1	1	1
42	51	Joe Harrison R51-Gray	-1	-1	-1	-	-1	-	0	1	1	1	-	1	1	1	1	1	1
